episode,reward,steps,success,collision,loss,epsilon
171,13.99999999999997,200,0.0,0.0,62.538807192053646,0.9180335133345161
172,-119.5,45,0.0,1.0,121.26481299681797,0.917574496577849
173,14.000000000000021,200,0.0,0.0,70.7366263904795,0.9171157093295601
174,-85.59999999999998,56,0.0,1.0,83.3398010215855,0.9166571514748953
175,-18.0,200,0.0,0.0,78.64203691758216,0.916198822899158
176,-110.19999999999999,62,0.0,1.0,43.44850834435032,0.9157407234877085
177,-106.79999999999998,148,0.0,1.0,68.43223258777446,0.9152828531259647
178,-105.5,45,0.0,1.0,38.44910838786099,0.9148252116994018
179,-103.3,63,0.0,1.0,77.11401602696805,0.9143677990935521
180,-98.6,146,0.0,1.0,58.00275806904043,0.9139106151940054
181,-105.5,25,0.0,1.0,123.5904497718811,0.9134536598864085
182,-116.49999999999999,95,0.0,1.0,73.04845995471666,0.9129969330564653
183,-109.6,76,0.0,1.0,86.90789885171934,0.9125404345899372
184,31.999999999999922,200,0.0,0.0,63.25364116292447,0.9120841643726423
185,-74.10000000000005,131,0.0,1.0,72.76147487645841,0.911628122290456
186,-104.1,91,0.0,1.0,82.78903708877144,0.9111723082293108
187,-120.1,171,0.0,1.0,67.52242460363267,0.9107167220751963
188,-126.0,80,0.0,1.0,80.39229189297184,0.9102613637141588
189,-108.89999999999999,39,0.0,1.0,122.09533275702061,0.9098062330323018
190,-123.19999999999997,152,0.0,1.0,67.41569005541112,0.9093513299157857
191,10.000000000000005,200,0.0,0.0,61.688818606957796,0.9088966542508279
192,-121.39999999999998,154,0.0,1.0,84.47501055214119,0.9084422059237025
193,6.0000000000000036,200,0.0,0.0,62.49129332635552,0.9079879848207407
194,6.000000000000014,200,0.0,0.0,89.04654314763845,0.9075339908283304
195,5.999999999999961,200,0.0,0.0,71.21372108165174,0.9070802238329163
196,-100.49999999999997,115,0.0,1.0,83.48549930375555,0.9066266837209999
197,8.000000000000028,200,0.0,0.0,65.60780974626542,0.9061733703791394
198,-105.6,76,0.0,1.0,84.67887242403077,0.9057202836939499
199,-101.19999999999999,52,0.0,1.0,78.23892249725759,0.9052674235521029
200,13.999999999999895,200,0.0,0.0,78.24627304513007,0.9048147898403269
201,-111.59999999999997,156,0.0,1.0,70.46855849347627,0.9043623824454068
202,12.000000000000043,200,0.0,0.0,90.55000268004835,0.9039102012541841
203,6.000000000000027,200,0.0,0.0,79.1601793179661,0.9034582461535571
204,-110.99999999999999,50,0.0,1.0,133.67462393283844,0.9030065170304803
205,-80.20000000000002,142,0.0,1.0,73.46262216798856,0.9025550137719651
206,12.000000000000044,200,0.0,0.0,84.97843564197422,0.9021037362650792
207,9.999999999999991,200,0.0,0.0,85.83325336288661,0.9016526843969468
208,-113.6,56,0.0,1.0,97.18631294768836,0.9012018580547484
209,-93.79999999999998,118,0.0,1.0,71.4476844530742,0.900751257125721
210,-90.80000000000004,188,0.0,1.0,81.63962898427185,0.9003008814971583
211,4.000000000000005,200,0.0,0.0,74.12016568316147,0.8998507310564098
212,-112.29999999999998,93,0.0,1.0,78.21541148472217,0.8994008056908817
213,-93.49999999999994,165,0.0,1.0,92.37170496704904,0.8989511052880362
214,8.000000000000018,200,0.0,0.0,81.15875594485551,0.8985016297353923
215,-9.999999999999986,200,0.0,0.0,97.12870706591755,0.8980523789205246
216,-11.999999999999972,200,0.0,0.0,110.72835349563509,0.8976033527310644
217,-112.1,31,0.0,1.0,72.35632597534887,0.8971545510546989
218,19.99999999999997,200,0.0,0.0,78.02655834730714,0.8967059737791716
219,-5.999999999999982,200,0.0,0.0,74.64873507730663,0.8962576207922821
220,-105.09999999999998,61,0.0,1.0,88.85028457495032,0.895809491981886
221,6.000000000000014,200,0.0,0.0,95.68228532500565,0.8953615872358951
222,-1.9999999999999765,200,0.0,0.0,81.9117151596211,0.8949139064422772
223,-116.59999999999997,86,0.0,1.0,66.92342722866424,0.8944664494890561
224,-92.19999999999995,182,0.0,1.0,79.3639939717621,0.8940192162643116
225,-88.9,199,0.0,1.0,70.04423650679875,0.8935722066561794
226,4.000000000000018,200,0.0,0.0,74.85001960918308,0.8931254205528514
227,-2.0,200,0.0,0.0,85.10013655070216,0.8926788578425751
228,-107.29999999999998,163,0.0,1.0,75.76260610921251,0.8922325184136538
229,1.1546319456101628e-14,200,0.0,0.0,110.5656972604245,0.891786402154447
230,6.000000000000035,200,0.0,0.0,120.32376833800227,0.8913405089533699
231,12.00000000000001,200,0.0,0.0,89.5709290939942,0.8908948386988933
232,-107.3,63,0.0,1.0,119.28104548440093,0.8904493912795439
233,11.999999999999975,200,0.0,0.0,75.94954158596694,0.8900041665839042
234,6.000000000000024,200,0.0,0.0,85.22177648004144,0.8895591645006123
235,-103.0,150,0.0,1.0,86.1344892218709,0.889114384918362
